gene,term
CYP4A12A,KEGG_MM_FATTY_ACID_METABOLISM
ACSBG2,KEGG_MM_FATTY_ACID_METABOLISM
ACSL5,KEGG_MM_FATTY_ACID_METABOLISM
CYP4A30B-PS,KEGG_MM_FATTY_ACID_METABOLISM
ACSL4,KEGG_MM_FATTY_ACID_METABOLISM
ACAA2,KEGG_MM_FATTY_ACID_METABOLISM
ALDH9A1,KEGG_MM_FATTY_ACID_METABOLISM
CYP4A31,KEGG_MM_FATTY_ACID_METABOLISM
ACADSB,KEGG_MM_FATTY_ACID_METABOLISM
ALDH1B1,KEGG_MM_FATTY_ACID_METABOLISM
EHHADH,KEGG_MM_FATTY_ACID_METABOLISM
ACSL3,KEGG_MM_FATTY_ACID_METABOLISM
CPT1C,KEGG_MM_FATTY_ACID_METABOLISM
ACOX3,KEGG_MM_FATTY_ACID_METABOLISM
ECHS1,KEGG_MM_FATTY_ACID_METABOLISM
ACSBG1,KEGG_MM_FATTY_ACID_METABOLISM
HADHA,KEGG_MM_FATTY_ACID_METABOLISM
LOC101056567,KEGG_MM_SYNTHESIS_AND_DEGRADATION_OF_KETONE_BODIES
ACAT1,KEGG_MM_SYNTHESIS_AND_DEGRADATION_OF_KETONE_BODIES
ACAT2,KEGG_MM_SYNTHESIS_AND_DEGRADATION_OF_KETONE_BODIES
HMGCL,KEGG_MM_SYNTHESIS_AND_DEGRADATION_OF_KETONE_BODIES
HMGCS2,KEGG_MM_SYNTHESIS_AND_DEGRADATION_OF_KETONE_BODIES
HMGCS1,KEGG_MM_SYNTHESIS_AND_DEGRADATION_OF_KETONE_BODIES
OXCT2B,KEGG_MM_SYNTHESIS_AND_DEGRADATION_OF_KETONE_BODIES
OXCT2A,KEGG_MM_SYNTHESIS_AND_DEGRADATION_OF_KETONE_BODIES
OXCT1,KEGG_MM_SYNTHESIS_AND_DEGRADATION_OF_KETONE_BODIES
BDH2,KEGG_MM_SYNTHESIS_AND_DEGRADATION_OF_KETONE_BODIES
BDH1,KEGG_MM_SYNTHESIS_AND_DEGRADATION_OF_KETONE_BODIES
CEL,KEGG_MM_STEROID_BIOSYNTHESIS
CYP24A1,KEGG_MM_STEROID_BIOSYNTHESIS
CYP27B1,KEGG_MM_STEROID_BIOSYNTHESIS
CYP51,KEGG_MM_STEROID_BIOSYNTHESIS
DHCR7,KEGG_MM_STEROID_BIOSYNTHESIS
EBP,KEGG_MM_STEROID_BIOSYNTHESIS
HSD17B7,KEGG_MM_STEROID_BIOSYNTHESIS
LIPA,KEGG_MM_STEROID_BIOSYNTHESIS
LSS,KEGG_MM_STEROID_BIOSYNTHESIS
NSDHL,KEGG_MM_STEROID_BIOSYNTHESIS
SOAT1,KEGG_MM_STEROID_BIOSYNTHESIS
SOAT2,KEGG_MM_STEROID_BIOSYNTHESIS
SC5D,KEGG_MM_STEROID_BIOSYNTHESIS
CYP2R1,KEGG_MM_STEROID_BIOSYNTHESIS
SC4MOL,KEGG_MM_STEROID_BIOSYNTHESIS
TM7SF2,KEGG_MM_STEROID_BIOSYNTHESIS
DHCR24,KEGG_MM_STEROID_BIOSYNTHESIS
HSD3B7,KEGG_MM_PRIMARY_BILE_ACID_BIOSYNTHESIS
CYP27A1,KEGG_MM_PRIMARY_BILE_ACID_BIOSYNTHESIS
BAAT,KEGG_MM_PRIMARY_BILE_ACID_BIOSYNTHESIS
CH25H,KEGG_MM_PRIMARY_BILE_ACID_BIOSYNTHESIS
CYP46A1,KEGG_MM_PRIMARY_BILE_ACID_BIOSYNTHESIS
CYP7A1,KEGG_MM_PRIMARY_BILE_ACID_BIOSYNTHESIS
CYP7B1,KEGG_MM_PRIMARY_BILE_ACID_BIOSYNTHESIS
CYP8B1,KEGG_MM_PRIMARY_BILE_ACID_BIOSYNTHESIS
HSD17B4,KEGG_MM_PRIMARY_BILE_ACID_BIOSYNTHESIS
ACOT8,KEGG_MM_PRIMARY_BILE_ACID_BIOSYNTHESIS
AMACR,KEGG_MM_PRIMARY_BILE_ACID_BIOSYNTHESIS
SCP2,KEGG_MM_PRIMARY_BILE_ACID_BIOSYNTHESIS
AKR1D1,KEGG_MM_PRIMARY_BILE_ACID_BIOSYNTHESIS
SLC27A5,KEGG_MM_PRIMARY_BILE_ACID_BIOSYNTHESIS
CYP39A1,KEGG_MM_PRIMARY_BILE_ACID_BIOSYNTHESIS
ACOX2,KEGG_MM_PRIMARY_BILE_ACID_BIOSYNTHESIS
COQ7,KEGG_MM_UBIQUINONE_AND_OTHER_TERPENOID
HPD,KEGG_MM_UBIQUINONE_AND_OTHER_TERPENOID
NQO1,KEGG_MM_UBIQUINONE_AND_OTHER_TERPENOID
COQ6,KEGG_MM_UBIQUINONE_AND_OTHER_TERPENOID
COQ3,KEGG_MM_UBIQUINONE_AND_OTHER_TERPENOID
TAT,KEGG_MM_UBIQUINONE_AND_OTHER_TERPENOID
VKORC1,KEGG_MM_UBIQUINONE_AND_OTHER_TERPENOID
COQ5,KEGG_MM_UBIQUINONE_AND_OTHER_TERPENOID
GGCX,KEGG_MM_UBIQUINONE_AND_OTHER_TERPENOID
COQ2,KEGG_MM_UBIQUINONE_AND_OTHER_TERPENOID
